Year	Industry	Status of innovation activity	Information	Innovation activity of enterprises by industry
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; production or development methods, number of enterprises (no.)	81
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	18
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; ICT or information processing, number of enterprises (no.)	47
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, number of enterprises (no.)	33
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; business practices or external relations, number of enterprises (no.)	36
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	50
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations; marketing methods, number of enterprises (no.)	30
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations developed by enterprise, number of enterprises (no.)	84
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations developed together with others, number of enterprises (no.)	48
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Enterprise modified processes developed by others, number of enterprises (no.)	16
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Process innovations developed by others, number of enterprises (no.)	11
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Innovations, number of enterprises (no.)	121
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Innovation activities, number of enterprises (no.)	98
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Ongoing innovation activities, number of enterprises (no.)	98
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Abandoned innovation activities, number of enterprises (no.)	34
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Completed innovation activitiess, number of enterprises (no.)	16
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Innovation activity, number of enterprises (no.)	143
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	In-house research and development (R&D), number of enterprises (no.)	143
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Continuous in-house R&D, number of enterprises (no.)	116
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Occasional in-house R&D, number of enterprises (no.)	27
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	Contract-out R&D, number of enterprises (no.)	108
2022	C26 Manufacture of computer, electronic and optical products	Enterprises with innovation activity	In-house or contracted-out R&D, number of enterprises (no.)	143
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Number of enterprises (no.)	149
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations (goods or services), share of enterprises (%)	65.1
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Goods innovations, share of enterprises (%)	60.8
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Service innovations, share of enterprises (%)	24.7
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Only goods innovations, no service innovations, share of enterprises (%)	40.4
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Only service innovations, no goods innovations, share of enterprises (%)	4.2
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Both goods and service innovations, share of enterprises (%)	20.5
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new to market, share of enterprises (%)	51.9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new to enterprise, share of enterprises (%)	51.1
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new only to market, not to enterprise, share of enterprises (%)	14.0
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new only to enterprise, not to market, share of enterprises (%)	13.2
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new both to market and to enterprise, share of enterprises (%)	37.9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations developed by enterprise, share of enterprises (%)	55.3
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations developed together with others, share of enterprises (%)	35.0
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Enterprise modified products developed by others, share of enterprises (%)	6.3
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations developed by others, share of enterprises (%)	6.3
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations, share of enterprises (%)	59.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; production or development methods, share of enterprises (%)	43.5
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	21.0
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; ICT or information processing, share of enterprises (%)	24.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; accounting or other administrative operations, share of enterprises (%)	23.9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; business practices or external relations, share of enterprises (%)	21.0
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	28.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; marketing methods, share of enterprises (%)	30.1
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations developed by enterprise, share of enterprises (%)	46.9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations developed together with others, share of enterprises (%)	32.9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Enterprise modified processes developed by others, share of enterprises (%)	13.5
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations developed by others, share of enterprises (%)	6.3
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Innovations, share of enterprises (%)	80.5
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Innovation activities, share of enterprises (%)	45.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Ongoing innovation activities, share of enterprises (%)	37.9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Abandoned innovation activities, share of enterprises (%)	21.8
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Completed innovation activitiess, share of enterprises (%)	9.2
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Innovation activity, share of enterprises (%)	83.3
2022	C27 Manufacture of electrical equipment	Total number of enterprises	In-house research and development (R&D), share of enterprises (%)	70.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Continuous in-house R&D, share of enterprises (%)	49.7
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Occasional in-house R&D, share of enterprises (%)	21.0
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Contract-out R&D, share of enterprises (%)	45.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	In-house or contracted-out R&D, share of enterprises (%)	70.6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations (goods or services), number of enterprises (no.)	97
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Goods innovations, number of enterprises (no.)	91
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Service innovations, number of enterprises (no.)	37
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Only goods innovations, no service innovations, number of enterprises (no.)	60
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Only service innovations, no goods innovations, number of enterprises (no.)	6
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Both goods and service innovations, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new to market, number of enterprises (no.)	77
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new to enterprise, number of enterprises (no.)	76
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new only to market, not to enterprise, number of enterprises (no.)	21
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new only to enterprise, not to market, number of enterprises (no.)	20
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Products new both to market and to enterprise, number of enterprises (no.)	56
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations developed by enterprise, number of enterprises (no.)	82
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations developed together with others, number of enterprises (no.)	52
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Enterprise modified products developed by others, number of enterprises (no.)	9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Product innovations developed by others, number of enterprises (no.)	9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations, number of enterprises (no.)	89
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; production or development methods, number of enterprises (no.)	65
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; ICT or information processing, number of enterprises (no.)	37
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; accounting or other administrative operations, number of enterprises (no.)	36
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; business practices or external relations, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	43
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations; marketing methods, number of enterprises (no.)	45
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations developed by enterprise, number of enterprises (no.)	70
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations developed together with others, number of enterprises (no.)	49
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Enterprise modified processes developed by others, number of enterprises (no.)	20
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Process innovations developed by others, number of enterprises (no.)	9
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Innovations, number of enterprises (no.)	120
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Innovation activities, number of enterprises (no.)	68
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Ongoing innovation activities, number of enterprises (no.)	56
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Abandoned innovation activities, number of enterprises (no.)	32
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Completed innovation activitiess, number of enterprises (no.)	14
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Innovation activity, number of enterprises (no.)	124
2022	C27 Manufacture of electrical equipment	Total number of enterprises	In-house research and development (R&D), number of enterprises (no.)	105
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Continuous in-house R&D, number of enterprises (no.)	74
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Occasional in-house R&D, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Total number of enterprises	Contract-out R&D, number of enterprises (no.)	68
2022	C27 Manufacture of electrical equipment	Total number of enterprises	In-house or contracted-out R&D, number of enterprises (no.)	105
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Number of enterprises (no.)	124
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations (goods or services), share of enterprises (%)	78.1
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Goods innovations, share of enterprises (%)	73.1
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Service innovations, share of enterprises (%)	29.7
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Only goods innovations, no service innovations, share of enterprises (%)	48.5
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Only service innovations, no goods innovations, share of enterprises (%)	5.0
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Both goods and service innovations, share of enterprises (%)	24.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new to market, share of enterprises (%)	62.3
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new to enterprise, share of enterprises (%)	61.3
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new only to market, not to enterprise, share of enterprises (%)	16.8
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new only to enterprise, not to market, share of enterprises (%)	15.8
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new both to market and to enterprise, share of enterprises (%)	45.5
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations developed by enterprise, share of enterprises (%)	66.4
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations developed together with others, share of enterprises (%)	42.1
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Enterprise modified products developed by others, share of enterprises (%)	7.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations developed by others, share of enterprises (%)	7.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations, share of enterprises (%)	71.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; production or development methods, share of enterprises (%)	52.2
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	25.3
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; ICT or information processing, share of enterprises (%)	29.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, share of enterprises (%)	28.7
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; business practices or external relations, share of enterprises (%)	25.3
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	34.4
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; marketing methods, share of enterprises (%)	36.2
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations developed by enterprise, share of enterprises (%)	56.4
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations developed together with others, share of enterprises (%)	39.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Enterprise modified processes developed by others, share of enterprises (%)	16.3
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations developed by others, share of enterprises (%)	7.6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Innovations, share of enterprises (%)	96.7
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Innovation activities, share of enterprises (%)	54.7
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Ongoing innovation activities, share of enterprises (%)	45.5
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Abandoned innovation activities, share of enterprises (%)	26.2
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Completed innovation activitiess, share of enterprises (%)	11.1
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Innovation activity, share of enterprises (%)	100.0
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	In-house research and development (R&D), share of enterprises (%)	84.8
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Continuous in-house R&D, share of enterprises (%)	59.7
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Occasional in-house R&D, share of enterprises (%)	25.2
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Contract-out R&D, share of enterprises (%)	54.7
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	In-house or contracted-out R&D, share of enterprises (%)	84.8
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations (goods or services), number of enterprises (no.)	97
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Goods innovations, number of enterprises (no.)	91
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Service innovations, number of enterprises (no.)	37
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Only goods innovations, no service innovations, number of enterprises (no.)	60
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Only service innovations, no goods innovations, number of enterprises (no.)	6
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Both goods and service innovations, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new to market, number of enterprises (no.)	77
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new to enterprise, number of enterprises (no.)	76
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new only to market, not to enterprise, number of enterprises (no.)	21
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new only to enterprise, not to market, number of enterprises (no.)	20
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Products new both to market and to enterprise, number of enterprises (no.)	56
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations developed by enterprise, number of enterprises (no.)	82
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations developed together with others, number of enterprises (no.)	52
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Enterprise modified products developed by others, number of enterprises (no.)	9
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Product innovations developed by others, number of enterprises (no.)	9
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations, number of enterprises (no.)	89
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; production or development methods, number of enterprises (no.)	65
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; ICT or information processing, number of enterprises (no.)	37
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, number of enterprises (no.)	36
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; business practices or external relations, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	43
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations; marketing methods, number of enterprises (no.)	45
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations developed by enterprise, number of enterprises (no.)	70
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations developed together with others, number of enterprises (no.)	49
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Enterprise modified processes developed by others, number of enterprises (no.)	20
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Process innovations developed by others, number of enterprises (no.)	9
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Innovations, number of enterprises (no.)	120
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Innovation activities, number of enterprises (no.)	68
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Ongoing innovation activities, number of enterprises (no.)	56
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Abandoned innovation activities, number of enterprises (no.)	32
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Completed innovation activitiess, number of enterprises (no.)	14
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Innovation activity, number of enterprises (no.)	124
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	In-house research and development (R&D), number of enterprises (no.)	105
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Continuous in-house R&D, number of enterprises (no.)	74
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Occasional in-house R&D, number of enterprises (no.)	31
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	Contract-out R&D, number of enterprises (no.)	68
2022	C27 Manufacture of electrical equipment	Enterprises with innovation activity	In-house or contracted-out R&D, number of enterprises (no.)	105
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Number of enterprises (no.)	307
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations (goods or services), share of enterprises (%)	64.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Goods innovations, share of enterprises (%)	62.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Service innovations, share of enterprises (%)	31.8
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Only goods innovations, no service innovations, share of enterprises (%)	32.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Only service innovations, no goods innovations, share of enterprises (%)	2.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Both goods and service innovations, share of enterprises (%)	29.7
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new to market, share of enterprises (%)	50.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new to enterprise, share of enterprises (%)	50.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new only to market, not to enterprise, share of enterprises (%)	13.8
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new only to enterprise, not to market, share of enterprises (%)	14.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new both to market and to enterprise, share of enterprises (%)	36.1
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations developed by enterprise, share of enterprises (%)	55.3
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations developed together with others, share of enterprises (%)	33.4
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Enterprise modified products developed by others, share of enterprises (%)	6.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations developed by others, share of enterprises (%)	4.3
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations, share of enterprises (%)	61.5
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; production or development methods, share of enterprises (%)	47.7
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	16.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; ICT or information processing, share of enterprises (%)	27.4
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; accounting or other administrative operations, share of enterprises (%)	22.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; business practices or external relations, share of enterprises (%)	22.1
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	30.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; marketing methods, share of enterprises (%)	24.3
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations developed by enterprise, share of enterprises (%)	50.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations developed together with others, share of enterprises (%)	31.6
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Enterprise modified processes developed by others, share of enterprises (%)	11.8
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations developed by others, share of enterprises (%)	6.5
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Innovations, share of enterprises (%)	78.4
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Innovation activities, share of enterprises (%)	54.2
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Ongoing innovation activities, share of enterprises (%)	50.4
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Abandoned innovation activities, share of enterprises (%)	21.5
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Completed innovation activitiess, share of enterprises (%)	9.9
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Innovation activity, share of enterprises (%)	87.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	In-house research and development (R&D), share of enterprises (%)	80.9
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Continuous in-house R&D, share of enterprises (%)	61.8
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Occasional in-house R&D, share of enterprises (%)	19.0
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Contract-out R&D, share of enterprises (%)	57.3
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	In-house or contracted-out R&D, share of enterprises (%)	80.9
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations (goods or services), number of enterprises (no.)	196
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Goods innovations, number of enterprises (no.)	190
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Service innovations, number of enterprises (no.)	97
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Only goods innovations, no service innovations, number of enterprises (no.)	99
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Only service innovations, no goods innovations, number of enterprises (no.)	6
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Both goods and service innovations, number of enterprises (no.)	91
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new to market, number of enterprises (no.)	153
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new to enterprise, number of enterprises (no.)	154
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new only to market, not to enterprise, number of enterprises (no.)	42
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new only to enterprise, not to market, number of enterprises (no.)	43
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Products new both to market and to enterprise, number of enterprises (no.)	111
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations developed by enterprise, number of enterprises (no.)	170
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations developed together with others, number of enterprises (no.)	102
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Enterprise modified products developed by others, number of enterprises (no.)	18
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Product innovations developed by others, number of enterprises (no.)	13
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations, number of enterprises (no.)	189
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; production or development methods, number of enterprises (no.)	146
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	50
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; ICT or information processing, number of enterprises (no.)	84
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; accounting or other administrative operations, number of enterprises (no.)	68
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; business practices or external relations, number of enterprises (no.)	68
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	93
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations; marketing methods, number of enterprises (no.)	75
2022	C26-27 Manufacture of computer, electronic and optical products, and electrical equipment	Total number of enterprises	Process innovations developed by enterprise, number of enterprises (no.)	154
