Year	Industry	Status of innovation activity	Information	Competence required by the enterprise from not important (1) to highly important (5) and sufficiency of competence by industry
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	14.8
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	19.7
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	12.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	26.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	25.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	6.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	8.7
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	2.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	9.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	4.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	16.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	27.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	3.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	15.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	2.8
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	5.5
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	16.7
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	11.8
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	15.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	3.1
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	18.1
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	15.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	8.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	14.3
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	4.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	8.1
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	10.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	3.3
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	3.6
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	0.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	13.5
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	4.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	16.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	12.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	11.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	17.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	13.7
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	6.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	0.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	7.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	5.5
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	13.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 2, competence not at the needed level, share of enterprises (%)	18.9
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 1, competence at the needed level, share of enterprises (%)	23.4
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Utilisation of intellectual property rights, importance 1, competence not at the needed level, share of enterprises (%)	30.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	2.2
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	2.8
2022	E Water supply; sewerage, waste management and remediation activities	Total number of enterprises	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	14.1
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Number of enterprises (no.)	112
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	10.3
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	3.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	32.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	6.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	20.3
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	17.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	5.5
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 5, competence at the needed level, share of enterprises (%)	16.3
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	5.1
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 4, competence at the needed level, share of enterprises (%)	14.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	1.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 3, competence at the needed level, share of enterprises (%)	30.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	6.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 2, competence at the needed level, share of enterprises (%)	17.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	8.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	7.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	9.5
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	8.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	38.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	20.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	2.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	1.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	3.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 4, competence not at the needed level, share of enterprises (%)	1.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 3, competence at the needed level, share of enterprises (%)	19.1
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 3, competence not at the needed level, share of enterprises (%)	21.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 2, competence at the needed level, share of enterprises (%)	14.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 2, competence not at the needed level, share of enterprises (%)	10.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 1, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Skills related to creative work, importance 1, competence not at the needed level, share of enterprises (%)	24.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 5, competence at the needed level, share of enterprises (%)	18.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 4, competence at the needed level, share of enterprises (%)	38.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 4, competence not at the needed level, share of enterprises (%)	1.5
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 3, competence at the needed level, share of enterprises (%)	20.3
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 3, competence not at the needed level, share of enterprises (%)	11.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 2, competence at the needed level, share of enterprises (%)	3.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 2, competence not at the needed level, share of enterprises (%)	1.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Cooperation and networking skills, importance 1, competence not at the needed level, share of enterprises (%)	5.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 5, competence at the needed level, share of enterprises (%)	27.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 4, competence at the needed level, share of enterprises (%)	33.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 4, competence not at the needed level, share of enterprises (%)	5.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 3, competence at the needed level, share of enterprises (%)	13.1
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 3, competence not at the needed level, share of enterprises (%)	4.8
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 2, competence at the needed level, share of enterprises (%)	4.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 1, competence at the needed level, share of enterprises (%)	0.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Markets and customer needs, importance 1, competence not at the needed level, share of enterprises (%)	10.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 5, competence at the needed level, share of enterprises (%)	22.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 5, competence not at the needed level, share of enterprises (%)	2.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 4, competence at the needed level, share of enterprises (%)	28.1
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 4, competence not at the needed level, share of enterprises (%)	23.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 3, competence at the needed level, share of enterprises (%)	2.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 3, competence not at the needed level, share of enterprises (%)	13.8
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 2, competence at the needed level, share of enterprises (%)	2.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 2, competence not at the needed level, share of enterprises (%)	2.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Anticipation and major social changes, importance 1, competence not at the needed level, share of enterprises (%)	1.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 5, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 5, competence not at the needed level, share of enterprises (%)	1.5
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 4, competence at the needed level, share of enterprises (%)	20.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 4, competence not at the needed level, share of enterprises (%)	7.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 3, competence at the needed level, share of enterprises (%)	13.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 3, competence not at the needed level, share of enterprises (%)	18.1
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 2, competence at the needed level, share of enterprises (%)	10.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 2, competence not at the needed level, share of enterprises (%)	17.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 1, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Management of innovation activity, importance 1, competence not at the needed level, share of enterprises (%)	3.4
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 4, competence at the needed level, share of enterprises (%)	1.5
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 3, competence at the needed level, share of enterprises (%)	9.2
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 3, competence not at the needed level, share of enterprises (%)	9.3
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 2, competence at the needed level, share of enterprises (%)	12.8
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 2, competence not at the needed level, share of enterprises (%)	23.9
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 1, competence at the needed level, share of enterprises (%)	14.6
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Utilisation of intellectual property rights, importance 1, competence not at the needed level, share of enterprises (%)	28.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 4, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 4, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 3, competence at the needed level, share of enterprises (%)	3.7
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 2, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 2, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 1, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	Enterprises with innovation activity	Some other competence areas, importance 1, competence not at the needed level, share of enterprises (%)	12.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Number of enterprises (no.)	77
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	3.5
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	9.2
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	13.9
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	26.9
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	6.9
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	8.5
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	24.1
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	7.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 4, competence at the needed level, share of enterprises (%)	6.2
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	10.4
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 3, competence at the needed level, share of enterprises (%)	21.6
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	3.5
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 2, competence at the needed level, share of enterprises (%)	8.7
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	5.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 1, competence at the needed level, share of enterprises (%)	34.6
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	10.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	9.7
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	5.4
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	32.6
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	19.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	4.2
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	8.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 1, competence at the needed level, share of enterprises (%)	16.1
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Digitalisation and data, importance 1, competence not at the needed level, share of enterprises (%)	5.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Skills related to creative work, importance 5, competence at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Skills related to creative work, importance 5, competence not at the needed level, share of enterprises (%)	0.0
2022	E Water supply; sewerage, waste management and remediation activities	No innovation activity	Skills related to creative work, importance 4, competence at the needed level, share of enterprises (%)	0.0
